province,grdp_per_capita_thousand_rp_2024,life_exp_male_2024,life_exp_female_2024,internet_pct_urban_2024,internet_pct_rural_2024,internet_pct_total_2024,poverty_urban_mar2024,poverty_urban_sep2024,poverty_rural_mar2024,poverty_rural_sep2024,poverty_total_mar2024,poverty_total_sep2024,mean_years_schooling_2024,unemployment_pct_feb2024,unemployment_pct_aug2024
ACEH,43782.0,71.14,75.37,92.6,86.97,88.95,9.6,8.37,16.75,14.99,14.23,12.64,9.95,5.56,5.75
BALI,67318.0,72.43,77.91,94.74,85.25,92.16,3.55,3.32,5.2,5.11,4.0,3.8,9.87,1.87,1.79
BANTEN,70276.0,72.32,77.75,94.98,84.91,93.02,5.69,5.57,6.44,6.2,5.84,5.7,9.55,7.02,6.68
BENGKULU,49233.0,71.21,75.52,95.83,88.05,90.62,13.56,12.32,13.56,12.63,13.56,12.52,9.4,3.17,3.11
DI YOGYAKARTA,51486.0,73.56,77.82,91.71,82.34,89.5,10.29,10.11,12.49,11.31,10.83,10.4,10.23,3.24,3.48
DKI JAKARTA,344383.0,73.16,78.96,98.18,,98.18,4.3,4.14,,,4.3,4.14,11.49,6.03,6.21
GORONTALO,44437.0,68.8,72.74,94.25,86.61,90.17,4.57,4.99,22.97,21.62,14.57,13.87,8.64,3.05,3.13
JAMBI,86775.0,71.7,76.55,93.01,89.41,90.59,9.5,9.6,5.9,6.08,7.1,7.26,9.26,4.45,4.48
JAWA BARAT,56082.0,72.48,77.98,92.83,82.2,90.58,7.07,6.65,9.07,8.85,7.46,7.08,9.24,6.91,6.75
JAWA TENGAH,47970.0,73.13,77.68,91.12,86.44,88.89,9.71,8.83,11.34,10.45,10.47,9.58,8.47,4.39,4.78
JAWA TIMUR,75770.0,72.4,77.86,90.64,82.22,86.9,7.12,6.83,13.3,13.19,9.79,9.56,8.69,3.74,4.19
KALIMANTAN BARAT,52703.0,71.62,76.38,96.47,90.31,92.65,4.25,4.62,7.58,7.26,6.32,6.25,8.28,4.2,4.86
KALIMANTAN SELATAN,67122.0,71.77,76.71,92.04,86.44,89.22,3.62,3.59,4.61,4.46,4.11,4.02,9.02,3.89,4.2
KALIMANTAN TENGAH,79320.0,71.48,76.1,96.46,88.79,92.13,4.89,5.22,5.38,5.29,5.17,5.26,9.17,3.67,4.01
KALIMANTAN TIMUR,212117.0,73.2,76.9,96.69,92.74,95.45,4.47,4.41,8.76,8.0,5.78,5.51,10.22,5.75,5.14
KALIMANTAN UTARA,198677.0,71.38,75.87,97.38,89.44,94.58,4.73,5.07,9.23,5.96,6.32,5.38,9.58,4.01,3.9
KEP. BANGKA BELITUNG,70193.0,71.73,76.63,93.09,90.77,92.14,3.39,4.09,6.17,6.49,4.55,5.08,8.78,3.85,4.63
KEP. RIAU,161424.0,72.44,77.92,98.68,87.65,97.57,4.85,4.36,9.94,8.55,5.37,4.78,10.65,6.94,6.39
LAMPUNG,51387.0,71.91,76.99,93.84,90.45,91.57,8.18,7.91,11.97,12.04,10.69,10.62,8.8,4.12,4.19
MALUKU,32199.0,68.76,72.7,95.72,80.4,87.27,5.14,4.59,24.43,25.08,16.05,15.78,10.44,5.96,6.11
MALUKU UTARA,71517.0,69.12,73.07,96.21,83.39,87.28,6.12,6.27,6.41,5.93,6.32,6.03,9.7,4.16,4.03
NUSA TENGGARA BARAT,32282.0,70.3,74.31,89.12,83.74,86.54,12.86,11.64,12.95,12.21,12.91,11.91,8.5,3.3,2.73
NUSA TENGGARA TIMUR,24303.0,69.88,73.87,94.88,77.81,82.45,8.57,8.11,23.41,23.02,19.48,19.02,8.48,3.17,3.02
PAPUA,81009.0,68.55,72.48,93.93,63.9,81.99,6.33,5.93,33.67,36.57,17.26,18.09,10.7,5.81,6.48
PAPUA BARAT,131636.0,66.53,70.51,97.26,80.47,85.51,8.17,9.5,27.68,26.34,21.66,21.09,9.87,4.31,4.13
PAPUA BARAT DAYA,59064.0,68.1,72.04,96.31,79.71,88.49,8.51,8.03,27.78,25.9,18.13,16.95,10.48,6.02,6.48
PAPUA PEGUNUNGAN,18105.0,65.46,69.42,54.5,8.81,12.15,16.56,12.11,34.21,31.0,32.97,29.66,5.1,1.18,1.32
PAPUA SELATAN,61622.0,66.52,70.49,90.76,51.7,65.71,3.1,3.65,25.64,28.47,17.44,19.35,8.99,4.75,4.05
PAPUA TENGAH,118774.0,66.24,70.22,95.0,19.14,36.08,4.32,5.27,37.98,34.86,29.76,27.6,6.17,2.49,2.75
RIAU,165350.0,71.92,77.02,97.26,92.12,94.16,6.76,6.11,6.61,6.52,6.67,6.36,9.69,3.85,3.7
SULAWESI BARAT,42718.0,69.11,73.06,93.89,88.64,89.67,9.29,8.33,11.7,11.32,11.21,10.71,8.56,3.02,2.68
SULAWESI SELATAN,73573.0,71.55,76.23,96.23,88.59,92.18,5.08,5.21,10.74,10.11,8.06,7.77,9.22,4.9,4.19
SULAWESI TENGAH,120750.0,68.91,72.86,94.62,84.59,87.94,8.61,7.34,13.33,12.9,11.77,11.04,9.28,3.15,2.94
SULAWESI TENGGARA,67840.0,69.94,73.93,94.65,89.78,91.7,7.45,6.78,13.6,13.07,11.21,10.63,9.74,3.22,3.09
SULAWESI UTARA,69352.0,71.71,76.57,92.57,85.19,89.31,4.75,4.07,10.35,10.14,7.25,6.7,10.02,5.98,5.85
SUMATERA BARAT,57083.0,71.9,76.97,94.85,88.82,91.89,4.72,4.16,7.28,6.79,5.97,5.42,9.72,5.79,5.75
SUMATERA SELATAN,75132.0,71.82,76.81,94.82,88.72,90.94,10.04,9.02,11.53,11.43,10.97,10.51,8.98,3.97,3.86
SUMATERA UTARA,73575.0,71.59,76.32,94.77,89.05,92.3,7.93,7.01,8.08,7.44,7.99,7.19,10.18,5.1,5.6
INDONESIA,,71.75,76.66,93.38,84.61,89.76,7.09,6.66,11.79,11.34,9.03,8.57,9.22,4.82,4.91
